Estimate; Total: 0.0
Estimate; Total: 0.0
Males; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.000887945395571
Percent; Estimate; Two or more races - High school graduate or higher: 0.000878556080658
Females; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.000849080295646
Females; Margin of Error; Population 25 years and over - Bachelor's degree: 0.000837252869439
Total; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher: 0.000830159400862
Females; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.000823448276024
Males; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.000808547827919
Males; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.000806119998848
Males; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.000788452190171
Total; Margin of Error; Population 65 years and over: 0.000783794924773
Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher: 0.000765067749262
Males; Margin of Error; Asian alone: 0.000764760301228
Males; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.000762242563412
Males; Margin of Error; Black alone: 0.000756735678563
Males; Margin of Error; Population 65 years and over - High school graduate or higher: 0.000751815848177
Total; Margin of Error; American Indian or Alaska Native alone: 0.000699100622552
Total; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.000692091944144
Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone: 0.000690462894552
Total; Margin of Error; Population 25 to 34 years: 0.000689585968104
Females; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.000683477564619
Females; Margin of Error; Population 35 to 44 years: 0.000673171528845
Total; Margin of Error; Two or more races - Bachelor's degree or higher: 0.000669068166589
Total; Margin of Error; Asian alone: 0.000627124116796
Total; Margin of Error; Population 25 years and over - Less than 9th grade: 0.000622802490346
Total; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.000620871051654
Males; Estimate; Two or more races - Bachelor's degree or higher: 0.000619909743961
Percent Males; Estimate; Asian alone - High school graduate or higher: 0.000619657945405
Total; Margin of Error; Two or more races - High school graduate or higher: 0.00061547450233
Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.000612261162227
Females; Estimate; American Indian or Alaska Native alone: 0.000609513538644
Males; Margin of Error; American Indian or Alaska Native alone: 0.000600259076885
Females; Margin of Error; Population 25 years and over - Less than 9th grade: 0.000599034204194
Total; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.000597353476309
Total; Margin of Error; Asian alone - High school graduate or higher: 0.000588319867327
Total; Margin of Error; Black alone: 0.000579416924917
Males; Margin of Error; Population 35 to 44 years: 0.000578630294823
Percent Males; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.00057653103088
Mean income (dollars); Margin of Error; All households - With Social Security income: 0.000552373020159
Females; Margin of Error; Hispanic or Latino Origin: 0.000540613510514
Males; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.000539229783371
Females; Margin of Error; Asian alone - Bachelor's degree or higher: 0.000536888123748
Percent Males; Estimate; Two or more races - Bachelor's degree or higher: 0.000536745310908
Females; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.000536108111276
Males; Margin of Error; Population 25 to 34 years: 0.000531754559468
Females; Margin of Error; Asian alone: 0.000524199543573
Total; Margin of Error; Population 25 years and over - Bachelor's degree: 0.000517485133554
Total; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.000516029724221
Females; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.000515881677961
Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.000509476139573
Females; Margin of Error; Population 25 to 34 years - Bachelor's degree or higher: 0.000508585389303
Females; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.000497917966
Total; Margin of Error; Population 45 to 64 years: 0.000493056286356
Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.00047992525242
Females; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000462989441343
Females; Estimate; Two or more races - Bachelor's degree or higher: 0.000455722677155
Females; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.000452257478481
Males; Margin of Error; Population 25 years and over - Bachelor's degree: 0.000448058763021
Males; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000447186123046
Total; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.000442847740819
Males; Estimate; American Indian or Alaska Native alone: 0.000442485941777
Total; Margin of Error; Some other race alone: 0.000426321180034
Females; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.000413761274853
Total; Margin of Error; Population 25 to 34 years - High school graduate or higher: 0.000410409370944
Females; Margin of Error; Population 65 years and over: 0.000400268648111
Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.000396831661659
Total; Margin of Error; Hispanic or Latino Origin: 0.000395774559438
Total; Margin of Error; Black alone - High school graduate or higher: 0.000383739415138
Total; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.000382905358328
Males; Margin of Error; Population 25 years and over - Some college, no degree: 0.000381456806536
Males; Margin of Error; Hispanic or Latino Origin: 0.000376398506161
Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.000370447112426
Margin of Error; Total: - Asian alone: 0.000355798334233
Total; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.00035482077286
Total; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.00034593581248
Females; Margin of Error; Population 45 to 64 years: 0.000345205771738
Mean income (dollars); Margin of Error; All households - With cash public assistance income: 0.000344539668005
Males; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.000343971721565
Females; Margin of Error; Population 65 years and over - High school graduate or higher: 0.000337969255173
Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.000335657700982
Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.000335568852217
Females; Margin of Error; Black alone: 0.000321938623542
Total; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.000320429103483
Females; Margin of Error; Some other race alone - High school graduate or higher: 0.000316082292611
Females; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.00031203290584
Total; Margin of Error; Two or more races: 0.000307518074754
Males; Margin of Error; Population 25 years and over - Less than 9th grade: 0.000306991150734
Males; Margin of Error; Population 25 years and over: 0.000305756478984
Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.000302899304375
Females; Margin of Error; Population 25 to 34 years: 0.000299704299545
Males; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.000279094012882
Mean income (dollars); Estimate; All households - With Social Security income: 0.000278069259444
Females; Margin of Error; Black alone - Bachelor's degree or higher: 0.000277726360669
Total; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.000276080369052
Females; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.000269600666982
Percent; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.000266606525485
Males; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.00026504723533
Males; Estimate; Two or more races: 0.00026442312863
Females; Margin of Error; Black alone - High school graduate or higher: 0.000261257238699
Females; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.000255173029616
Total; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.000254715715856
Total; Margin of Error; Population 25 years and over - Associate's degree: 0.000250502654547
Total; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.000248184722781
Mean income (dollars); Estimate; All households - With cash public assistance income: 0.000243518150019
Total; Margin of Error; Population 65 years and over - High school graduate or higher: 0.000236184024728
Males; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.000235672718257
Total; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.000234164525213
Females; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.00023140450272
Total; Margin of Error; Black alone - Bachelor's degree or higher: 0.000230880575266
Females; Margin of Error; Population 25 years and over - Associate's degree: 0.000230402990045
Total; Margin of Error; All households: 0.000230078918924
Females; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.000229747672025
Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.000228952914072
Females; Margin of Error; Population 25 years and over - Some college, no degree: 0.000227151031962
Males; Margin of Error; Population 45 to 64 years - High school graduate or higher: 0.00022261694936
Males; Margin of Error; Black alone - High school graduate or higher: 0.000222562993166
Total; Margin of Error; Population 25 years and over: 0.000221789221967
Females; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.000219069998575
Males; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.000216537138001
Males; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.000211347502785
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 0.000211056847047
Total; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.000210960462472
Females; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.000209547546719
Total; Margin of Error; Asian alone - Bachelor's degree or higher: 0.0001934218799
Males; Estimate; American Indian or Alaska Native alone - High school graduate or higher: 0.000189474518113
Total; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.000187910342546
Females; Margin of Error; Population 25 years and over: 0.000186161058607
Males; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher: 0.000183115143146
Females; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.000179381374742
Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.000179023360996
Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.000178280815149
Total; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.000176624450222
Total; Estimate; American Indian or Alaska Native alone: 0.000174751301979
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 0.000173463426379
Females; Estimate; Two or more races: 0.000173210142964
Total; Estimate; Two or more races - Bachelor's degree or higher: 0.000173107772325
Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.000172458880304
Males; Margin of Error; Population 25 years and over - Associate's degree: 0.000170267257492
Males; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.000170222402341
Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.000162305388147
Total; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.000158672420658
Total; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.000156365189724
Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino: 0.000154724722974
Total; Margin of Error; Population 25 years and over - Some college, no degree: 0.000153572685303
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.000148626760422
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 0.00014594211084
Males; Margin of Error; Population 45 to 64 years: 0.000143064936617
Margin of Error; Total: - White alone: 0.00014088938738
Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI): 0.000140549001261
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 0.000138799856613
Margin of Error; Total: - Black or African American alone: 0.000136338562036
Total; Estimate; Some other race alone - Bachelor's degree or higher: 0.000135112205641
Males; Margin of Error; Population 65 years and over: 0.000132208958302
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 0.000128583978476
Females; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.000125390675546
Females; Estimate; Two or more races - High school graduate or higher: 0.00012376275412
Margin of Error; Total: - Two or more races:: 0.000123206993822
Total; Margin of Error; Population 25 years and over - High school graduate (includes equivalency): 0.000122440659872
Males; Estimate; Population 25 years and over - Less than 9th grade: 0.000121360940935
Females; Margin of Error; Population 18 to 24 years: 0.000121192385144
Total; Margin of Error; Population 25 years and over - Graduate or professional degree: 0.000117081841518
Percent Males; Estimate; Population 25 years and over - Graduate or professional degree: 0.000115483828641
Total; Estimate; Two or more races: 0.000106915390641
Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma: 0.000103448490268
Margin of Error; Total: - American Indian and Alaska Native alone: 9.58845062505e-05
Percent Females; Margin of Error; Black alone - High school graduate or higher: 9.5507351623e-05
Margin of Error; Total: - Two or more races: - Two races including Some other race: 9.5326111639e-05
Females; Estimate; Some other race alone - Bachelor's degree or higher: 9.47343500093e-05
Males; Estimate; Some other race alone - Bachelor's degree or higher: 9.42079583794e-05
Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 9.29387190775e-05
Total; Estimate; Population 18 to 24 years - Less than high school graduate: 9.16777881907e-05
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 9.01600592046e-05
Males; Margin of Error; Population 18 to 24 years: 8.6528698217e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 8.35493275277e-05
Margin of Error; Total: - Some other race alone: 8.24344846381e-05
Mean income (dollars); Estimate; All households - With retirement income: 8.16356504457e-05
Males; Estimate; Two or more races - High school graduate or higher: 8.16028789232e-05
Total; Estimate; Population 65 years and over - Bachelor's degree or higher: 8.03205219662e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 7.7872247031e-05
Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 7.70429255716e-05
Females; Estimate; Population 25 years and over - Less than 9th grade: 7.68144192717e-05
Mean income (dollars); Estimate; White alone, not Hispanic or Latino: 7.41284066147e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 7.14219541882e-05
Females; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 7.13406457072e-05
Total; Estimate; Two or more races - High school graduate or higher: 7.05452133928e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 6.94561451429e-05
Males; Estimate; Population 65 years and over: 6.73972481424e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 6.63172912138e-05
Males; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 6.51446266517e-05
Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races: 6.44218717259e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 6.40903425813e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 6.38133922195e-05
Females; Estimate; Some other race alone - High school graduate or higher: 6.22707193061e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 6.16490307937e-05
Females; Estimate; Population 25 years and over - Bachelor's degree: 6.0936362094e-05
Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income: 6.07853319441e-05
Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 6.05559222334e-05
Mean income (dollars); Margin of Error; All households - With retirement income: 5.95910427246e-05
Males; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 5.88760238118e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 5.8060765463e-05
Females; Estimate; Population 65 years and over - High school graduate or higher: 5.63998454214e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 5.58394633402e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 5.5808849531e-05
Males; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 5.53933901482e-05
Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 5.50475768155e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 5.49724204314e-05
Males; Estimate; Population 65 years and over - High school graduate or higher: 5.3698063163e-05
Females; Estimate; Population 65 years and over: 5.26032082801e-05
Males; Estimate; Population 18 to 24 years - Less than high school graduate: 5.09895145968e-05
Total; Margin of Error; Population 18 to 24 years: 5.0851349434e-05
Males; Estimate; Population 25 years and over - Bachelor's degree: 5.03720710911e-05
Males; Estimate; Asian alone - Bachelor's degree or higher: 4.81060888408e-05
Mean income (dollars); Margin of Error; All households: 4.72949366613e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American: 4.67813338365e-05
Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 4.6439330453e-05
Total; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 4.6316870557e-05
Males; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 4.61796978125e-05
Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone: 4.58310637835e-05
Total; Estimate; Some other race alone - High school graduate or higher: 4.55230492051e-05
Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 4.48855195599e-05
Females; Estimate; Population 18 to 24 years: 4.48502719636e-05
Females; Estimate; Black alone: 4.39328426007e-05
Males; Estimate; Black alone - Bachelor's degree or higher: 4.32601358937e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 4.26473858731e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 4.23482447555e-05
Females; Estimate; Population 45 to 64 years: 4.17553595229e-05
Females; Estimate; Population 18 to 24 years - Less than high school graduate: 4.14128056162e-05
Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income: 4.08888087793e-05
Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 3.97541397856e-05
Females; Estimate; Some other race alone: 3.83960765317e-05
Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI): 3.81279102665e-05
Females; Estimate; Asian alone - Bachelor's degree or higher: 3.75619084288e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 3.72515216058e-05
Males; Estimate; Population 25 to 34 years: 3.71440095391e-05
Males; Estimate; Black alone: 3.70583049879e-05
Mean income (dollars); Margin of Error; All households - With earnings: 3.69990408232e-05
Males; Estimate; Population 45 to 64 years: 3.6382610164e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 3.62513383012e-05
Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 3.57788557525e-05
Females; Estimate; Population 35 to 44 years - High school graduate or higher: 3.55215469117e-05
Total; Estimate; Population 25 years and over - Bachelor's degree: 3.49074613705e-05
Males; Estimate; Population 25 years and over - Graduate or professional degree: 3.43045367391e-05
Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 3.29168920825e-05
Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 3.22448761063e-05
Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 3.1574405778e-05
Females; Estimate; Asian alone: 3.15213600901e-05
Males; Estimate; Asian alone: 3.11685143461e-05
Males; Estimate; Some other race alone: 3.09165404939e-05
Females; Estimate; Population 25 years and over - Graduate or professional degree: 3.03121776219e-05
Females; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 3.02255991182e-05
Percent; Estimate; Population 18 to 24 years - Less than high school graduate: 3.01862936924e-05
Females; Estimate; Population 25 to 34 years - High school graduate or higher: 2.98726353806e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 2.97813772505e-05
Total; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 2.97385136926e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 2.96010428457e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 2.9480275526e-05
Females; Estimate; Black alone - High school graduate or higher: 2.93231808542e-05
Males; Estimate; Population 35 to 44 years: 2.92784542499e-05
Total; Estimate; Population 35 to 44 years - High school graduate or higher: 2.90620037861e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 2.784491587e-05
Total; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 2.7749244411e-05
Females; Estimate; Population 18 to 24 years - Some college or associate's degree: 2.74258330086e-05
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 2.72729933477e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American: 2.65963701877e-05
Total; Estimate; Population 25 to 34 years - High school graduate or higher: 2.64959417342e-05
Mean income (dollars); Estimate; All households: 2.61398211654e-05
Females; Estimate; Hispanic or Latino Origin: 2.59058838083e-05
Males; Estimate; Some other race alone - High school graduate or higher: 2.57781187154e-05
Females; Estimate; Population 25 to 34 years: 2.49559464421e-05
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 2.45191078582e-05
Males; Estimate; Population 18 to 24 years - Some college or associate's degree: 2.43267617067e-05
Males; Estimate; Black alone - High school graduate or higher: 2.42007889426e-05
Females; Estimate; Population 35 to 44 years: 2.37393166243e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 2.37383529346e-05
Estimate; Total: - Two or more races: - Two races including Some other race: 2.3265732719e-05
Total; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 2.30332315293e-05
Females; Estimate; Asian alone - High school graduate or higher: 2.27484616955e-05
Estimate; Total: - American Indian and Alaska Native alone: 2.27145264924e-05
Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 2.26765039534e-05
Females; Estimate; Population 25 years and over - Associate's degree: 2.22955594424e-05
Males; Estimate; Population 25 years and over - High school graduate (includes equivalency): 2.22955282164e-05
Females; Estimate; White alone, not Hispanic or Latino: 2.21734908937e-05
Total; Estimate; Population 65 years and over - High school graduate or higher: 2.19375304976e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 2.17604376995e-05
Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 2.17514707326e-05
Females; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 2.15885533912e-05
Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 2.15458904767e-05
Females; Estimate; Population 25 years and over - High school graduate (includes equivalency): 2.07776012026e-05
Males; Estimate; Population 18 to 24 years: 2.00244289031e-05
Total; Estimate; Population 25 years and over - Less than 9th grade: 1.99603512317e-05
Males; Estimate; Population 25 years and over - Associate's degree: 1.97488103954e-05
Total; Estimate; Population 18 to 24 years - Some college or associate's degree: 1.97024379078e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 1.93820310381e-05
Total; Estimate; Black alone: 1.93775181492e-05
Total; Estimate; Asian alone - Bachelor's degree or higher: 1.86518486108e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 1.86199307637e-05
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 1.84063452789e-05
Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 1.83936455585e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 1.83770963947e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 1.83197963894e-05
Total; Estimate; Some other race alone: 1.80252411814e-05
Males; Estimate; Population 35 to 44 years - High school graduate or higher: 1.79338808411e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 1.78072645124e-05
Mean income (dollars); Estimate; All households - With earnings: 1.73691186372e-05
Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 1.73318595775e-05
Males; Estimate; Population 45 to 64 years - High school graduate or higher: 1.73004235213e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 1.71680642241e-05
Total; Estimate; Population 25 to 34 years: 1.71060053757e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 1.6973793922e-05
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 1.68493233868e-05
Females; Estimate; Hispanic or Latino Origin - High school graduate or higher: 1.67286567992e-05
Total; Estimate; Population 25 years and over - Graduate or professional degree: 1.63480722236e-05
Total; Estimate; Population 65 years and over: 1.62169695686e-05
